,Side,Size,Price
0,Sell,100001,1000000
1,Sell,9,999999
2,Sell,3,999998
3,Sell,155472,993000
4,Sell,340,779015
5,Sell,20,772464
6,Sell,994,772109.5
7,Sell,5880,771038
8,Sell,1000,770267
9,Sell,355,770030.5
10,Sell,3670,764038.5
11,Sell,15131,757107
12,Sell,321,736560.5
13,Sell,984,727199.5
14,Sell,683,723208
15,Sell,715,714490.5
16,Sell,378,714082
17,Sell,307,712052
18,Sell,187,709278.5
19,Sell,71,708021.5
20,Sell,732,707225
21,Sell,62,707224.5
22,Sell,188,697764.5
23,Sell,100,681040
24,Sell,503,678979
25,Sell,2,600884.5
26,Sell,1195,379361.5
27,Sell,200,351450
28,Sell,100,300000
29,Sell,249000,249000
30,Sell,100,150000
31,Sell,6800,141250
32,Sell,4000,126000
33,Sell,1,115442
34,Sell,300,114000
35,Sell,500,112000
36,Sell,1000,110049
37,Sell,20,108450
38,Sell,100,103379
39,Sell,133,101111
40,Sell,500,100300
41,Sell,88,100000
42,Sell,787,99999
43,Sell,30,95400
44,Sell,8500,95000
45,Sell,40,93000
46,Sell,100,92400
47,Sell,2000,91100
48,Sell,50,87650
49,Sell,1001,85745
50,Sell,50,85658
51,Sell,5,83989
52,Sell,2000,82708.5
53,Sell,150,82345
54,Sell,279,80120
55,Sell,900,80000
56,Sell,70,77792
57,Sell,800000,76700.5
58,Sell,17786,75711
59,Sell,50,75700
60,Sell,1,75560
61,Sell,10200,75030
62,Sell,4,75000
63,Sell,5000,72310
64,Sell,12000,71314
65,Sell,10,71175
66,Sell,10,71045
67,Sell,30,70735
68,Sell,1,70705
69,Sell,1000,70085
70,Sell,1521,70000
71,Sell,1,69420
72,Sell,100,68040
73,Sell,500,67850
74,Sell,55,67800
75,Sell,40,67750
76,Sell,500,67132
77,Sell,250,67100
78,Sell,30,67000
79,Sell,20,66536
80,Sell,6500,66494
81,Sell,1000,63225
82,Sell,232,62085
83,Sell,20,61317
84,Sell,1859,57000
85,Sell,4000,55126.5
86,Sell,100,55000
87,Sell,1,54000
88,Sell,1000,52602
89,Sell,1000,50110
90,Sell,51,50000
91,Sell,2,49998
92,Sell,2000,46450.5
93,Sell,600,46250
94,Sell,500,45000
95,Sell,194,44050
96,Sell,20000,43190
97,Sell,2000,40170.5
98,Sell,1006,40000
99,Sell,3000,39520
100,Sell,1000,39000
